342.59375,418.59375
352.18234,418.59375
361.77094,418.59375
371.35394,418.4906
380.61548,416.78976
387.66876,410.37494
391.3949,401.63013
391.40625,392.04327
386.71808,383.98373
378.8827,378.89032
369.32327,378.20312
359.73468,378.20312
350.1461,378.20312
342.59375,380.23938
342.59375,389.82797
342.59375,399.41656
342.59375,409.00516
312.0,355.40625
321.98172,355.40625
331.96347,355.40625
341.9452,355.40625
351.92694,355.40625
361.90866,355.40625
371.8904,355.40625
381.8711,355.5385
391.76944,356.62466
401.33582,359.2682
409.91574,364.09378
417.50482,370.57767
421.35785,379.70578
423.79688,389.23148
423.79688,399.2132
420.83084,408.40933
415.6028,416.8308
407.73138,422.96887
398.57474,426.75714
398.3055,428.86395
407.45923,432.34152
414.15356,439.2905
417.45227,448.544
419.1347,458.38055
420.43326,468.27713
421.8192,478.1605
423.5717,487.98132
426.76425,497.37338
421.52563,500.0
411.5439,500.0
401.56216,500.0
393.68106,497.4298
392.31473,487.54294
390.98666,477.64996
389.66742,467.7558
388.13635,457.89276
385.8773,448.21
378.4281,442.19342
368.5251,441.59375
358.54337,441.59375
348.56165,441.59375
343.59375,446.6076
343.59375,456.58936
343.59375,466.57108
343.59375,476.5528
343.59375,486.53455
343.59375,496.51627
337.09573,500.0
327.114,500.0
317.13226,500.0
312.0,495.15054
312.0,485.16882
312.0,475.18707
312.0,465.20535
312.0,455.2236
312.0,445.24188
312.0,435.26013
312.0,425.2784
312.0,415.29666
312.0,405.31494
312.0,395.3332
312.0,385.35147
312.0,375.36972
312.0,365.388
506.56113,452.40625
497.00043,452.1212
487.48685,453.44153
478.81104,457.57144
473.96738,465.63113
475.26,475.01526
481.70667,481.73413
490.9807,483.20312
499.42554,479.0793
505.109,471.52747
506.37402,462.0025
510.358,500.0
509.4052,490.16858
505.9606,491.07104
498.2962,497.2395
489.366,501.34857
479.57144,502.40625
469.6691,502.40625
460.54587,498.87244
452.6577,493.0966
447.57935,484.8724
445.1705,475.39175
445.78555,465.5407
449.05878,456.33008
455.01447,448.54794
462.71783,442.5555
471.80707,438.65942
481.48352,436.55652
491.33038,435.55765
501.2241,435.24127
506.56113,430.6382
504.87625,420.9739
497.86472,414.5275
488.18854,413.67612
480.513,419.4089
477.6695,428.0
467.76715,428.0
457.8648,428.0
449.56113,426.40134
451.41534,416.74838
456.19818,408.15106
463.927,402.0891
472.81354,398.2598
482.53162,396.35834
492.39914,396.0
502.2731,396.6533
511.8654,399.00912
520.84314,403.1053
528.091,409.6092
532.54736,418.30026
534.41547,427.9838
534.58154,437.88342
534.6311,447.78564
534.6806,457.68787
534.73016,467.5901
534.7643,477.49234
535.27765,487.3747
536.5499,497.17282
530.16266,500.0
520.2603,500.0
583.3468,451.0
583.94904,460.5465
586.12195,469.8512
590.9975,478.03018
599.15735,482.79688
608.7611,482.79688
616.9453,478.1789
622.8071,470.9225
626.2476,462.1186
627.2269,452.5649
627.3468,442.96735
627.3468,433.3636
622.01263,425.5521
616.2224,417.89014
607.0618,417.0
597.58344,417.33044
590.39154,423.69507
586.15045,432.1501
584.046,441.4385
626.3468,355.59375
636.20953,355.59375
646.07227,355.59375
655.93494,355.59375
656.1437,365.24774
656.1437,375.11047
656.1437,384.9732
656.1437,394.83594
656.1437,404.69864
656.1437,414.56137
656.1437,424.42407
656.1437,434.2868
656.1437,444.14954
